"統計名：","平成28年社会生活基本調査 調査票Ａに基づく結果 生活時間に関する結果 生活時間編（全国）"
"表番号：","1-1"
"表題：","曜日,男女,ふだんの就業状態,スマートフォン・パソコンなどの使用時間,年齢,行動の種類別総平均時間(15歳以上)－全国"
"実施年月：","2016年","10月"

"表章項目","曜日4_071_2016A","男女3_001_2016A","時間軸(年次)","ふだんの就業状態9_007_2016A","スマートフォン・PCなどの使用時間8_085_2016A","年齢20_002_2016A","/行動の種類24_074_2016A","サンプルサイズ","推定人口【千人】","00_総数【分】","01_睡眠【分】","02_身の回りの用事【分】","03_食事【分】","04_通勤・通学【分】","05_仕事【分】","06_学業【分】","07_家事【分】","08_介護・看護【分】","09_育児【分】","10_買い物【分】","11_移動(通勤・通学を除く)【分】","12_テレビ・ラジオ・新聞・雑誌【分】","13_休養・くつろぎ【分】","14_学習・自己啓発・訓練(学業以外)【分】","15_趣味・娯楽【分】","16_スポーツ【分】","17_ボランティア活動・社会参加活動【分】","18_交際・付き合い【分】","19_受診・療養【分】","20_その他【分】","R1_（再掲）１次活動【分】","R2_（再掲）２次活動【分】","R3_（再掲）３次活動【分】"
"総平均時間","1_週全体","0_総数","2016年","0_総数","0_総数","00_総数","","332,440","107,806","1,440","457","82","101","34","224","27","87","4","16","26","29","138","96","11","46","12","4","17","8","19","640","418","382"
"総平均時間","1_週全体","0_総数","2016年","0_総数","0_総数","01_15～19歳","","18,154","6,008","1,440","460","72","86","62","42","327","7","0","1","11","23","56","114","46","63","31","2","18","3","17","618","449","373"
"総平均時間","1_週全体","0_総数","2016年","0_総数","0_総数","02_20～24歳","","12,820","6,096","1,440","478","76","86","56","237","109","14","1","7","18","28","56","112","21","84","11","3","28","3","14","640","441","359"
"総平均時間","1_週全体","0_総数","2016年","0_総数","0_総数","03_25～29歳","","13,940","6,345","1,440","467","74","86","48","333","13","35","1","36","20","30","59","103","13","72","5","2","23","3","13","627","488","325"
"総平均時間","1_週全体","0_総数","2016年","0_総数","0_総数","04_30～34歳","","17,093","7,204","1,440","460","75","87","44","324","4","64","3","65","23","30","62","95","8","50","6","2","17","5","14","622","527","291"
"総平均時間","1_週全体","0_総数","2016年","0_総数","0_総数","05_35～39歳","","21,210","8,058","1,440","448","78","91","42","327","3","80","3","57","25","32","73","88","7","40","6","3","17","5","16","617","537","286"
"総平均時間","1_週全体","0_総数","2016年","0_総数","0_総数","06_40～44歳","","27,455","9,633","1,440","439","80","91","43","330","3","97","3","28","25","31","85","91","6","40","8","4","15","5","15","610","529","301"
"総平均時間","1_週全体","0_総数","2016年","0_総数","0_総数","07_45～49歳","","26,372","9,205","1,440","424","81","93","45","336","3","103","4","8","27","29","104","92","6","36","8","4","15","5","18","598","525","317"
"総平均時間","1_週全体","0_総数","2016年","0_総数","0_総数","08_50～54歳","","24,359","7,817","1,440","422","82","96","44","337","3","100","4","3","28","30","119","85","7","31","8","3","14","8","16","599","518","323"
"総平均時間","1_週全体","0_総数","2016年","0_総数","0_総数","09_55～59歳","","25,761","7,460","1,440","424","81","99","39","298","3","105","7","3","30","31","147","82","7","31","9","4","15","7","18","604","485","351"
