"統計名：","令和3年社会生活基本調査 調査票Ａに基づく結果 生活時間に関する結果 生活時間編（全国）"
"表番号：","1-1-1"
"表題：","曜日,男女,ふだんの就業状態,スマートフォン・パソコンなどの使用時間,年齢,行動の種類別総平均時間(15歳以上)－全国"
"実施年月：","2021年","-"

"時間軸","曜日","男女","ふだんの就業状態","スマートフォン・パソコンなどの使用時間","年齢","/表章項目","推定人口【千人】","サンプルサイズ"
"2021年","1_週全体","0_総数","0_総数","0_総数","00_総数","","107,124","315,956"
"2021年","1_週全体","0_総数","0_総数","0_総数","01_15～19歳","","5,552","16,087"
"2021年","1_週全体","0_総数","0_総数","0_総数","02_20～24歳","","6,202","12,072"
"2021年","1_週全体","0_総数","0_総数","0_総数","03_25～29歳","","6,333","11,539"
"2021年","1_週全体","0_総数","0_総数","0_総数","04_30～34歳","","6,510","14,260"
"2021年","1_週全体","0_総数","0_総数","0_総数","05_35～39歳","","7,306","18,945"
"2021年","1_週全体","0_総数","0_総数","0_総数","06_40～44歳","","8,114","22,399"
"2021年","1_週全体","0_総数","0_総数","0_総数","07_45～49歳","","9,656","27,218"
"2021年","1_週全体","0_総数","0_総数","0_総数","08_50～54歳","","9,151","26,330"
"2021年","1_週全体","0_総数","0_総数","0_総数","09_55～59歳","","7,734","23,909"
"2021年","1_週全体","0_総数","0_総数","0_総数","10_60～64歳","","7,259","25,820"
"2021年","1_週全体","0_総数","0_総数","0_総数","11_65～69歳","","7,710","29,103"
"2021年","1_週全体","0_総数","0_総数","0_総数","12_70～74歳","","9,350","33,939"
"2021年","1_週全体","0_総数","0_総数","0_総数","13_75～79歳","","6,410","21,726"
"2021年","1_週全体","0_総数","0_総数","0_総数","14_80～84歳","","4,974","17,016"
"2021年","1_週全体","0_総数","0_総数","0_総数","15_85歳以上","","4,862","15,593"
"2021年","1_週全体","0_総数","0_総数","0_総数","R1_(再掲)20歳以上","","101,572","299,869"
"2021年","1_週全体","0_総数","0_総数","0_総数","R2_(再掲)35歳以上","","82,526","261,998"
"2021年","1_週全体","0_総数","0_総数","0_総数","R3_(再掲)65歳以上","","33,306","117,377"
"2021年","1_週全体","0_総数","0_総数","0_総数","R4_(再掲)75歳以上","","16,246","54,335"
"2021年","1_週全体","0_総数","0_総数","0_総数","R5_(再掲)15～64歳","","73,819","198,579"
"2021年","1_週全体","0_総数","0_総数","0_総数","R6_(再掲)25～44歳","","28,264","67,143"
"2021年","1_週全体","0_総数","0_総数","1_使用しなかった","00_総数","","25,369","92,393"
"2021年","1_週全体","0_総数","0_総数","1_使用しなかった","01_15～19歳","","574","1,664"
"2021年","1_週全体","0_総数","0_総数","1_使用しなかった","02_20～24歳","","574","1,191"
"2021年","1_週全体","0_総数","0_総数","1_使用しなかった","03_25～29歳","","678","1,441"
"2021年","1_週全体","0_総数","0_総数","1_使用しなかった","04_30～34歳","","830","2,150"
"2021年","1_週全体","0_総数","0_総数","1_使用しなかった","05_35～39歳","","1,092","3,095"
"2021年","1_週全体","0_総数","0_総数","1_使用しなかった","06_40～44歳","","1,175","3,742"
"2021年","1_週全体","0_総数","0_総数","1_使用しなかった","07_45～49歳","","1,382","4,618"
"2021年","1_週全体","0_総数","0_総数","1_使用しなかった","08_50～54歳","","1,412","4,867"
"2021年","1_週全体","0_総数","0_総数","1_使用しなかった","09_55～59歳","","1,263","4,804"
"2021年","1_週全体","0_総数","0_総数","1_使用しなかった","10_60～64歳","","1,505","6,515"
"2021年","1_週全体","0_総数","0_総数","1_使用しなかった","11_65～69歳","","2,111","9,641"
"2021年","1_週全体","0_総数","0_総数","1_使用しなかった","12_70～74歳","","3,598","14,793"
"2021年","1_週全体","0_総数","0_総数","1_使用しなかった","13_75～79歳","","3,020","11,500"
"2021年","1_週全体","0_総数","0_総数","1_使用しなかった","14_80～84歳","","2,806","10,697"
"2021年","1_週全体","0_総数","0_総数","1_使用しなかった","15_85歳以上","","3,350","11,675"
"2021年","1_週全体","0_総数","0_総数","1_使用しなかった","R1_(再掲)20歳以上","","24,795","90,729"
"2021年","1_週全体","0_総数","0_総数","1_使用しなかった","R2_(再掲)35歳以上","","22,713","85,947"
"2021年","1_週全体","0_総数","0_総数","1_使用しなかった","R3_(再掲)65歳以上","","14,884","58,306"
"2021年","1_週全体","0_総数","0_総数","1_使用しなかった","R4_(再掲)75歳以上","","9,176","33,872"
"2021年","1_週全体","0_総数","0_総数","1_使用しなかった","R5_(再掲)15～64歳","","10,485","34,087"
"2021年","1_週全体","0_総数","0_総数","1_使用しなかった","R6_(再掲)25～44歳","","3,775","10,428"
"2021年","1_週全体","0_総数","0_総数","2_使用した","00_総数","","81,756","223,563"
"2021年","1_週全体","0_総数","0_総数","2_使用した","01_15～19歳","","4,979","14,423"
